isStableBlock,magOpt1,magOpt2,trueProbability,opt1Rewarded,opt1Left,playsound
1,18,23,0.75,1,0,0
1,20,18,0.75,1,1,0
1,23,20,0.75,1,1,0
1,21,19,0.75,1,1,0
1,22,18,0.75,1,1,0
1,20,23,0.75,1,0,0
1,21,20,0.75,1,1,0
1,16,20,0.75,0,1,0
1,20,22,0.75,1,1,0
1,20,18,0.75,1,1,0
1,22,19,0.75,0,1,0
1,22,20,0.75,1,1,0
1,20,20,0.75,1,0,0
1,23,19,0.75,1,1,0
1,24,21,0.75,1,1,0
1,20,21,0.75,1,0,0
1,20,23,0.75,1,0,0
1,20,18,0.75,0,1,0
1,21,19,0.75,1,0,0
1,19,18,0.75,1,1,0
1,20,21,0.75,1,1,0
1,20,18,0.75,1,0,0
1,20,21,0.75,1,0,0
1,18,21,0.75,1,0,0
1,21,16,0.75,1,0,0
1,21,19,0.75,1,0,0
1,20,19,0.75,1,0,0
1,23,22,0.75,0,1,0
1,16,20,0.75,1,1,0
1,18,17,0.75,1,1,0
1,21,17,0.75,0,1,0
1,21,18,0.75,1,0,0
1,20,22,0.75,1,0,0
1,17,18,0.75,0,1,0
1,18,18,0.75,0,1,0
1,24,20,0.75,1,1,0
1,17,21,0.75,1,1,0
1,23,22,0.75,1,1,0
1,19,17,0.75,1,0,0
1,20,23,0.75,1,0,0
1,23,21,0.75,1,1,0
1,21,22,0.75,1,0,0
1,22,20,0.75,1,1,0
1,21,17,0.75,1,0,0
1,20,18,0.75,1,0,0
1,18,16,0.75,0,0,0
1,19,23,0.75,0,1,0
1,21,19,0.75,1,0,0
1,20,22,0.75,1,1,0
1,20,22,0.75,0,0,0
1,19,23,0.75,1,0,0
1,21,20,0.75,0,1,0
1,20,17,0.75,0,1,0
1,20,19,0.75,1,1,0
1,19,20,0.75,1,0,0
1,16,20,0.75,1,0,0
1,22,22,0.75,1,0,0
1,21,22,0.75,0,1,0
1,20,20,0.75,0,0,0
1,17,17,0.75,1,0,0
1,22,20,0.75,1,0,0
1,18,21,0.75,1,0,0
1,22,21,0.75,1,0,0
1,18,18,0.75,1,1,0
1,20,21,0.75,1,1,0
1,21,20,0.75,1,0,0
1,22,20,0.75,1,0,0
1,20,18,0.75,1,0,0
1,19,21,0.75,0,1,0
1,18,23,0.75,0,1,0
